timestamp,content_id,content_type
2026-08-15T15:04:21.689597,reel_nobody_talks_about_the_calls,reel
2026-08-15T16:59:29.351338,reel_rejection_is_the_cheapest_fe,reel
2026-08-15T19:03:43.906844,reel_most_people_stop_calling_whe,reel
2026-08-15T19:07:07.925404,reel_the_closer_s_mindset_is_not_,reel
2026-08-15T21:03:54.740652,reel_a_full_pipeline_is_not_a_gua,reel
2026-08-15T22:56:51.413330,reel_you_are_not_behind_because_y,reel
2026-08-16T01:04:00.253910,reel_more_deals_are_killed_by_ego,reel
2026-08-16T03:03:56.367345,reel_burnout_happens_when_you_for,reel
2026-08-16T05:04:05.509428,reel_a_closer_is_not_made_in_a_da,reel
2026-08-16T07:04:09.320379,reel_discipline_is_what_separates,reel
2026-08-16T09:04:13.832332,reel_most_objections_are_not_abou,reel
2026-08-16T09:07:18.082347,reel_fear_is_not_something_you_ov,reel
2026-08-16T11:04:13.328596,reel_the_only_way_to_get_good_at_,reel
2026-08-16T13:04:45.903670,reel_you_re_not_behind_on_your_qu,reel
2026-08-16T15:04:46.285289,reel_the_most_dangerous_number_is,reel
2026-08-16T17:01:16.092937,reel_you_are_more_likely_to_burn_,reel
2026-08-16T17:04:33.563714,reel_most_closers_are_made_in_the,reel
2026-08-16T19:03:59.575940,reel_the_best_closers_don_t_have_,reel
2026-08-16T19:06:45.522176,reel_the_only_way_to_avoid_burnou,reel
2026-08-16T21:04:47.826664,reel_voicemail_is_not_a_dead_end,reel
2026-08-16T23:04:21.670888,reel_the_biggest_deals_are_often_,reel
2026-08-17T01:04:27.345018,reel_rejection_is_just_a_speed_bu,reel
2026-08-17T03:03:50.592600,reel_most_people_focus_on_the_cal,reel
2026-08-17T05:04:13.783968,reel_confidence_comes_from_the_nu,reel
2026-08-17T07:04:12.066028,reel_you_re_not_getting_rejected_,reel
2026-08-17T09:04:02.486102,reel_nobody_closes_deals_by_being,reel
2026-08-17T11:03:44.573771,reel_fear_leaves_after_you_dial_n,reel
2026-08-17T11:06:40.705724,reel_nobody_has_ever_closed_a_dea,reel
2026-08-17T13:04:43.107804,reel_most_people_burn_out_from_ta,reel
2026-08-17T15:21:19.935937,reel_most_gatekeepers_are_just_un,reel
2026-08-17T17:18:54.401866,reel_most_reps_are_held_back_by_t,reel
2026-08-17T19:18:49.137849,reel_every_objection_is_a_test_of,reel
2026-08-17T21:18:44.231020,reel_rejection_is_a_reset_button_,reel
2026-08-17T23:18:22.579721,reel_the_best_closers_are_made_in,reel
2026-08-18T01:20:01.013144,reel_most_top_performers_compare_,reel
2026-08-18T03:14:39.004478,reel_the_closer_s_mindset_is_not__2,reel
2026-08-18T05:07:38.784004,reel_fear_of_rejection_is_just_fe,reel
2026-08-18T07:04:12.712117,reel_every_objection_is_a_test_of,reel
2026-08-18T09:03:59.363892,reel_most_people_stop_calling_whe,reel
2026-08-18T11:04:33.762183,reel_rejection_is_a_reset_button_,reel
2026-08-18T13:03:56.693659,reel_you_are_your_own_toughest_ga,reel
2026-08-18T15:04:00.646476,reel_most_objections_are_just_a_c,reel
2026-08-18T17:12:14.686456,reel_failure_is_not_the_opposite_,reel
2026-08-18T19:21:15.269553,reel_most_top_performers_compare_,reel
2026-08-18T21:19:28.747645,reel_burnout_is_not_from_calling_,reel
2026-08-18T23:18:30.694472,reel_the_only_way_to_get_good_at_,reel
2026-08-19T01:19:02.359749,reel_voicemail_is_not_a_dead_end,reel
2026-08-19T03:17:34.955173,reel_your_quota_is_not_a_goal_it_,reel
2026-08-19T03:32:52.937013,reel_the_only_quota_that_matters_,reel
2026-08-19T05:34:25.237910,reel_voicemail_is_not_a_dead_end_,reel
2026-08-19T07:36:15.842647,reel_burnout_happens_when_you_re_,reel
2026-08-19T09:31:49.170417,reel_voicemail_is_not_a_dead_end_,reel
2026-08-19T09:42:55.953520,reel_rejection_is_a_milestone,reel
2026-08-19T11:48:26.899238,reel_more_deals_are_killed_by_ego,reel
